NombreProceso,NombreGrupo,Fecha,total_ejecucionesFecha,total_mipsFecha
*LIBRARY/MAINTENANCE,MONITOREO,2024-05-13,10,0.0010725752666415663
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-05-13,50621,1.004355476812613
*LIBRARY/MAINTENANCE,MONITOREO,2024-11-06,11,0.0010881141659992608
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-11-06,4,6.33761756280579e-06
*LIBRARY/MAINTENANCE,OPERACION,2024-11-06,64958,1.3228790967220552
*LIBRARY/MAINTENANCE,MONITOREO,2024-08-10,9,0.0012495121599320484
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-06-21,62772,2.248396535811292
*LIBRARY/MAINTENANCE,OPERACION,2024-10-28,62867,1.2159644586406972
*LIBRARY/MAINTENANCE,MONITOREO,2024-06-26,10,0.0012651918952355826
*LIBRARY/MAINTENANCE,MONITOREO,2024-09-01,10,0.0013558745959181984
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-09-01,50154,1.2675264388191962
*LIBRARY/MAINTENANCE,MONITOREO,2024-09-24,10,0.0011588920530031387
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-06-27,63837,1.3299357130852243
*LIBRARY/MAINTENANCE,MONITOREO,2024-06-28,10,0.0014267620219910635
*LIBRARY/MAINTENANCE,OPERACION,2024-08-17,1,0.0003269741209254988
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-08-18,51620,1.0625328656327833
*LIBRARY/MAINTENANCE,OPERACION,2024-09-10,62176,1.2705827822735605
*LIBRARY/MAINTENANCE,MONITOREO,2024-09-10,10,0.0010995688229275913
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-09-10,6,1.1673735066304e-05
*LIBRARY/MAINTENANCE,OPERACION,2024-09-28,59352,1.2193189361441263
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-10-27,2,4.897961227551141e-06
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-10-28,6,1.1485953805183825e-05
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-07-20,50431,1.0978781030462204
*LIBRARY/MAINTENANCE,MONITOREO,2024-11-13,10,0.0009897480820491443
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-11-13,1,1.283171950987839e-06
*LIBRARY/MAINTENANCE,OPERACION,2024-11-13,64521,1.125240054869686
*LIBRARY/MAINTENANCE,MONITOREO,2024-06-13,10,0.0013069419289579672
*LIBRARY/MAINTENANCE,MONITOREO,2024-06-14,9,0.0018715219389541897
*LIBRARY/MAINTENANCE,MONITOREO,2024-06-10,10,0.0010999600338882582
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-08-15,61379,1.3187972015584029
*LIBRARY/MAINTENANCE,MONITOREO,2024-07-05,10,0.00126190572316598
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-07-05,65589,2.2009655712447436
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-05-24,60532,2.0148770330059773
*LIBRARY/MAINTENANCE,OPERACION,2024-10-14,51088,1.1102987224302274
*LIBRARY/MAINTENANCE,MONITOREO,2024-10-15,10,0.0009449935481488366
*LIBRARY/MAINTENANCE,OPERACION,2024-10-10,62761,1.351539540317741
*LIBRARY/MAINTENANCE,MONITOREO,2024-10-10,10,0.0014182336230485226
*LIBRARY/MAINTENANCE,MONITOREO,2024-06-01,9,0.0014985570574926757
*LIBRARY/MAINTENANCE,OPERACION,2024-11-08,65392,2.286360961903327
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-11-08,6,9.968055277795772e-06
*LIBRARY/MAINTENANCE,MONITOREO,2024-10-18,10,0.0014869146193032254
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-10-18,5,8.403211435127677e-06
*LIBRARY/MAINTENANCE,OPERACION,2024-10-18,65863,2.2995039445020735
*LIBRARY/MAINTENANCE,MONITOREO,2024-11-01,11,0.001426198678207703
*LIBRARY/MAINTENANCE,OPERACION,2024-11-01,61054,2.2959178857586933
*LIBRARY/MAINTENANCE,MONITOREO,2024-10-17,10,0.0012366647919837437
*LIBRARY/MAINTENANCE,OPERACION,2024-11-07,64486,1.3738596591707124
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-11-07,2,3.270523631176321e-06
*LIBRARY/MAINTENANCE,MONITOREO,2024-11-07,11,0.001237791479550464
*LIBRARY/MAINTENANCE,OPERACION,2024-11-17,55302,1.0997856476904708
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-11-17,2,3.865164291390198e-06
*LIBRARY/MAINTENANCE,OPERACION,2024-06-15,1,0.000317835432884317
*LIBRARY/MAINTENANCE,MONITOREO,2024-05-09,10,0.001518993918077921
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-05-09,62494,1.2425685409427305
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-05-08,63545,1.2203000775849444
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-05-07,64536,1.2021243224616653
*LIBRARY/MAINTENANCE,MONITOREO,2024-05-06,10,0.0011875130468855385
